PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
25-00503,18,1,6,0,1,N,N,3,0,2872.7,8680,14,5,5000,1,N,N,2,2,2,2,72,0
25-00703,21,2,6,0,1,N,N,3,0,2195.3,5790,6,7,0,0,N,N,2,2,2,2,6,0
25-00503,22,2,6,0,6,N,N,3,0,2872.7,7290,10,9,18000,3,N,N,2,2,2,2,80,0
25-01300,58,1,6,0,1,N,N,2,0,1457.2,N,N,8,0,0,N,N,1,2,2,2,57,0
25-00703,18,2,6,0,1,N,N,3,0,2195.3,8590,14,7,3300,1,N,N,2,2,2,2,24,0
25-00703,18,1,6,0,9,N,N,3,0,2195.3,7770,10,5,200000,9,N,N,2,2,2,2,90,0
25-00503,21,2,6,0,1,N,N,3,0,2872.7,8680,14,7,1000,1,N,N,2,2,2,2,24,0
25-00503,18,1,6,0,1,N,N,3,0,2872.7,N,N,7,0,0,N,N,2,2,2,2,58,0
25-01000,57,2,2,0,1,N,N,2,0,2447.1,N,N,6,17200,3,N,N,2,1,2,2,69,0
25-00503,20,1,6,0,1,N,N,3,0,2872.7,5170,6,5,11300,2,N,N,2,2,2,2,75,0
25-00503,89,2,6,0,1,N,N,2,0,2872.7,N,N,8,0,0,N,N,1,1,1,1,70,0
25-01300,57,2,4,0,1,N,N,3,0,1457.2,5490,6,7,12300,2,93,N,2,2,2,2,10,0
25-01300,18,1,6,0,1,N,N,3,0,1457.2,N,N,7,0,0,N,N,1,2,2,2,72,0
25-00503,19,1,6,0,1,N,N,3,0,2872.7,5275,6,7,2000,1,N,N,2,2,2,2,69,0
25-00703,21,2,6,0,1,N,N,3,0,2195.3,7870,11,7,6000,1,N,N,1,2,2,2,13,0
